method,task,metric,value,cost_value
ours,flocking,spatial_variance,0.11450739219203193,0.11450739219203193
ours,flocking,mean_dtw_distance,365.74143519624084,365.74143519624084
ours,flocking,spatial_variance,0.3012578027693595,0.3012578027693595
ours,flocking,mean_dtw_distance,575.9785731245104,575.9785731245104
ours,flocking,spatial_variance,0.2905195893471565,0.2905195893471565
ours,flocking,mean_dtw_distance,595.7263310327857,595.7263310327857
ours,flocking,spatial_variance,0.09956624991365642,0.09956624991365642
ours,flocking,mean_dtw_distance,425.50796026736026,425.50796026736026
ours,flocking,spatial_variance,0.13250564242680218,0.13250564242680218
ours,flocking,mean_dtw_distance,604.5869864296836,604.5869864296836
ours,flocking,spatial_variance,0.1458069304918302,0.1458069304918302
ours,flocking,mean_dtw_distance,423.0103356428895,423.0103356428895
ours,flocking,spatial_variance,0.165267904961406,0.165267904961406
ours,flocking,mean_dtw_distance,466.0166144102244,466.0166144102244
ours,flocking,spatial_variance,0.3682194995645896,0.3682194995645896
ours,flocking,mean_dtw_distance,124.6128299806237,124.6128299806237
ours,flocking,spatial_variance,0.1904609144478463,0.1904609144478463
ours,flocking,mean_dtw_distance,402.1684400016743,402.1684400016743
ours,flocking,spatial_variance,0.09807839635727826,0.09807839635727826
ours,flocking,mean_dtw_distance,440.48543747293206,440.48543747293206
ours,flocking,spatial_variance,0.2788353664338758,0.2788353664338758
ours,flocking,mean_dtw_distance,108.32583850799583,108.32583850799583
ours,flocking,spatial_variance,0.33776731987326036,0.33776731987326036
ours,flocking,mean_dtw_distance,120.3648172006873,120.3648172006873
ours,flocking,spatial_variance,0.11198358524471046,0.11198358524471046
ours,flocking,mean_dtw_distance,393.859973570852,393.859973570852
ours,flocking,spatial_variance,0.09541710080922694,0.09541710080922694
ours,flocking,mean_dtw_distance,423.35357386359493,423.35357386359493
ours,flocking,spatial_variance,0.16502196457089763,0.16502196457089763
ours,flocking,mean_dtw_distance,493.4996664641197,493.4996664641197
ours,flocking,spatial_variance,0.17266030378640695,0.17266030378640695
ours,flocking,mean_dtw_distance,378.0210148918669,378.0210148918669
ours,flocking,spatial_variance,0.2552173754149847,0.2552173754149847
ours,flocking,mean_dtw_distance,1083.78432146742,1083.78432146742
ours,flocking,spatial_variance,0.18939712575844941,0.18939712575844941
ours,flocking,mean_dtw_distance,623.9921231319432,623.9921231319432
ours,flocking,spatial_variance,0.3106971298722466,0.3106971298722466
ours,flocking,mean_dtw_distance,1195.1110231162058,1195.1110231162058
ours,flocking,spatial_variance,0.09688266653657646,0.09688266653657646
ours,flocking,mean_dtw_distance,357.32553205003643,357.32553205003643
ours,flocking,spatial_variance,0.12270321259807725,0.12270321259807725
ours,flocking,mean_dtw_distance,446.09221464548364,446.09221464548364
ours,flocking,spatial_variance,0.283910752195451,0.283910752195451
ours,flocking,mean_dtw_distance,527.9523682819945,527.9523682819945
ours,flocking,spatial_variance,0.1644567285739209,0.1644567285739209
ours,flocking,mean_dtw_distance,439.75808917715045,439.75808917715045
ours,flocking,spatial_variance,0.15931177256111606,0.15931177256111606
ours,flocking,mean_dtw_distance,450.95687186645955,450.95687186645955
ours,flocking,spatial_variance,0.1838577160136832,0.1838577160136832
ours,flocking,mean_dtw_distance,400.3398459141025,400.3398459141025
ours,flocking,spatial_variance,0.32008765708410203,0.32008765708410203
ours,flocking,mean_dtw_distance,579.9007499109807,579.9007499109807
ours,flocking,spatial_variance,0.11371771682333282,0.11371771682333282
ours,flocking,mean_dtw_distance,407.1741698076102,407.1741698076102
ours,flocking,spatial_variance,0.14251622099318836,0.14251622099318836
ours,flocking,mean_dtw_distance,650.6155507293969,650.6155507293969
ours,flocking,spatial_variance,0.10818753594664046,0.10818753594664046
ours,flocking,mean_dtw_distance,390.35297182533526,390.35297182533526
ours,flocking,spatial_variance,0.42297411865948475,0.42297411865948475
ours,flocking,mean_dtw_distance,565.655014888817,565.655014888817
ours,flocking,spatial_variance,0.13780230136802707,0.13780230136802707
ours,flocking,mean_dtw_distance,646.2339361713795,646.2339361713795
ours,flocking,spatial_variance,0.10761924274970583,0.10761924274970583
ours,flocking,mean_dtw_distance,383.26270627817104,383.26270627817104
ours,flocking,spatial_variance,0.5463525450780206,0.5463525450780206
ours,flocking,mean_dtw_distance,874.8203896925462,874.8203896925462
ours,flocking,spatial_variance,0.3349940340547449,0.3349940340547449
ours,flocking,mean_dtw_distance,1245.1472056201656,1245.1472056201656
ours,flocking,spatial_variance,0.26191462785509045,0.26191462785509045
ours,flocking,mean_dtw_distance,1104.013428195328,1104.013428195328
ours,flocking,spatial_variance,0.1062729838218901,0.1062729838218901
ours,flocking,mean_dtw_distance,364.8716394575876,364.8716394575876
ours,flocking,spatial_variance,0.12868935824770242,0.12868935824770242
ours,flocking,mean_dtw_distance,405.3583486562117,405.3583486562117
ours,flocking,spatial_variance,0.3327075233815024,0.3327075233815024
ours,flocking,mean_dtw_distance,116.83969422048473,116.83969422048473
ours,flocking,spatial_variance,0.11243285048870275,0.11243285048870275
ours,flocking,mean_dtw_distance,405.17052000158435,405.17052000158435
ours,flocking,spatial_variance,0.11316259214980243,0.11316259214980243
ours,flocking,mean_dtw_distance,372.85586198125577,372.85586198125577
ours,flocking,spatial_variance,0.4880582553250687,0.4880582553250687
ours,flocking,mean_dtw_distance,792.2665183623385,792.2665183623385
ours,flocking,spatial_variance,0.1004149740957124,0.1004149740957124
ours,flocking,mean_dtw_distance,393.7975777393728,393.7975777393728
ours,flocking,spatial_variance,0.19490733759630674,0.19490733759630674
ours,flocking,mean_dtw_distance,456.01526497601475,456.01526497601475
ours,flocking,spatial_variance,0.1789220700464514,0.1789220700464514
ours,flocking,mean_dtw_distance,446.1739310722972,446.1739310722972
ours,flocking,spatial_variance,0.1719978103588689,0.1719978103588689
ours,flocking,mean_dtw_distance,466.8965643571402,466.8965643571402
ours,flocking,spatial_variance,0.11730217591423395,0.11730217591423395
ours,flocking,mean_dtw_distance,395.2128027900912,395.2128027900912
ours,flocking,spatial_variance,0.10461174403577853,0.10461174403577853
ours,flocking,mean_dtw_distance,387.03603453074805,387.03603453074805
ours,flocking,spatial_variance,0.10980225601914677,0.10980225601914677
ours,flocking,mean_dtw_distance,368.3071347715334,368.3071347715334
ours,flocking,spatial_variance,0.10560687944579597,0.10560687944579597
ours,flocking,mean_dtw_distance,411.0787952956948,411.0787952956948
ours,flocking,spatial_variance,0.1317010302195642,0.1317010302195642
ours,flocking,mean_dtw_distance,412.0679337875482,412.0679337875482
ours,flocking,spatial_variance,0.12521822811409472,0.12521822811409472
ours,flocking,mean_dtw_distance,391.4734377310697,391.4734377310697
ours,flocking,spatial_variance,0.3420009424010402,0.3420009424010402
ours,flocking,mean_dtw_distance,119.00597411990611,119.00597411990611
ours,flocking,spatial_variance,0.152887190980252,0.152887190980252
ours,flocking,mean_dtw_distance,446.3150283856671,446.3150283856671
ours,flocking,spatial_variance,0.14552330306270456,0.14552330306270456
ours,flocking,mean_dtw_distance,383.46520023172997,383.46520023172997
ours,flocking,spatial_variance,0.1509505827544948,0.1509505827544948
ours,flocking,mean_dtw_distance,399.7166226039626,399.7166226039626
ours,flocking,spatial_variance,0.1345818375544791,0.1345818375544791
ours,flocking,mean_dtw_distance,382.2908644257765,382.2908644257765
ours,flocking,spatial_variance,0.27157102740173467,0.27157102740173467
ours,flocking,mean_dtw_distance,108.17612902294294,108.17612902294294
ours,flocking,spatial_variance,0.16503937485610098,0.16503937485610098
ours,flocking,mean_dtw_distance,419.3728151833886,419.3728151833886
ours,flocking,spatial_variance,0.11448148391652418,0.11448148391652418
ours,flocking,mean_dtw_distance,391.7323973873826,391.7323973873826
ours,flocking,spatial_variance,0.11983736199611804,0.11983736199611804
ours,flocking,mean_dtw_distance,384.6239223039533,384.6239223039533
ours,flocking,spatial_variance,0.10791738609376453,0.10791738609376453
ours,flocking,mean_dtw_distance,393.0495761658894,393.0495761658894
ours,flocking,spatial_variance,0.20549876653350868,0.20549876653350868
ours,flocking,mean_dtw_distance,602.1291441269416,602.1291441269416
ours,flocking,spatial_variance,0.11476941410821373,0.11476941410821373
ours,flocking,mean_dtw_distance,404.80055889143426,404.80055889143426
ours,flocking,spatial_variance,0.11870279066629578,0.11870279066629578
ours,flocking,mean_dtw_distance,414.35203744152386,414.35203744152386
ours,flocking,spatial_variance,0.11425576589386112,0.11425576589386112
ours,flocking,mean_dtw_distance,375.3976745748802,375.3976745748802
ours,flocking,spatial_variance,0.10045095075443843,0.10045095075443843
ours,flocking,mean_dtw_distance,368.7581270956492,368.7581270956492
ours,flocking,spatial_variance,0.1450943269449323,0.1450943269449323
ours,flocking,mean_dtw_distance,375.9263284430759,375.9263284430759
ours,flocking,spatial_variance,0.2092289402474658,0.2092289402474658
ours,flocking,mean_dtw_distance,625.397103756828,625.397103756828
ours,flocking,spatial_variance,0.1169147804663232,0.1169147804663232
ours,flocking,mean_dtw_distance,436.420684800069,436.420684800069
ours,flocking,spatial_variance,0.14928915489817826,0.14928915489817826
ours,flocking,mean_dtw_distance,395.13194671242326,395.13194671242326
ours,flocking,spatial_variance,0.13588244273467356,0.13588244273467356
ours,flocking,mean_dtw_distance,522.4810236098225,522.4810236098225
ours,flocking,spatial_variance,0.12152431143555906,0.12152431143555906
ours,flocking,mean_dtw_distance,370.3806688834788,370.3806688834788
ours,flocking,spatial_variance,0.09900854437471077,0.09900854437471077
ours,flocking,mean_dtw_distance,421.65440168693397,421.65440168693397
ours,flocking,spatial_variance,0.11064482064218548,0.11064482064218548
ours,flocking,mean_dtw_distance,425.76953226926656,425.76953226926656
ours,flocking,spatial_variance,0.10205029748263816,0.10205029748263816
ours,flocking,mean_dtw_distance,403.88889706109705,403.88889706109705
ours,flocking,spatial_variance,0.14957630008250505,0.14957630008250505
ours,flocking,mean_dtw_distance,374.493864011928,374.493864011928
ours,flocking,spatial_variance,0.23931041886558552,0.23931041886558552
ours,flocking,mean_dtw_distance,587.5935206740259,587.5935206740259
ours,flocking,spatial_variance,0.2869719227598136,0.2869719227598136
ours,flocking,mean_dtw_distance,112.63013383119554,112.63013383119554
ours,flocking,spatial_variance,0.1335214004053003,0.1335214004053003
ours,flocking,mean_dtw_distance,375.06146001175375,375.06146001175375
ours,flocking,spatial_variance,0.10453658096944057,0.10453658096944057
ours,flocking,mean_dtw_distance,374.95525444959156,374.95525444959156
ours,flocking,spatial_variance,0.10323057805331504,0.10323057805331504
ours,flocking,mean_dtw_distance,382.8747549477225,382.8747549477225
ours,flocking,spatial_variance,0.15249375231011914,0.15249375231011914
ours,flocking,mean_dtw_distance,406.29781550898537,406.29781550898537
ours,flocking,spatial_variance,0.09456238894603251,0.09456238894603251
ours,flocking,mean_dtw_distance,399.90301442741327,399.90301442741327
ours,flocking,spatial_variance,0.15158149951423872,0.15158149951423872
ours,flocking,mean_dtw_distance,443.1482865723932,443.1482865723932
ours,flocking,spatial_variance,0.13602106931617966,0.13602106931617966
ours,flocking,mean_dtw_distance,408.4404579684792,408.4404579684792
ours,flocking,spatial_variance,0.1487869804216777,0.1487869804216777
ours,flocking,mean_dtw_distance,442.19273885129604,442.19273885129604
ours,flocking,spatial_variance,0.10533571931002828,0.10533571931002828
ours,flocking,mean_dtw_distance,355.5109860514505,355.5109860514505
ours,flocking,spatial_variance,0.12991692385151601,0.12991692385151601
ours,flocking,mean_dtw_distance,513.1714774648328,513.1714774648328
ours,flocking,spatial_variance,0.11042564922822154,0.11042564922822154
ours,flocking,mean_dtw_distance,385.3532160204894,385.3532160204894
ours,flocking,spatial_variance,0.1212461645661281,0.1212461645661281
ours,flocking,mean_dtw_distance,404.7559675969909,404.7559675969909
ours,flocking,spatial_variance,0.1986478472469958,0.1986478472469958
ours,flocking,mean_dtw_distance,411.53694746484786,411.53694746484786
ours,flocking,spatial_variance,0.11497097276224054,0.11497097276224054
ours,flocking,mean_dtw_distance,377.4489143802593,377.4489143802593
ours,flocking,spatial_variance,0.28697679176524604,0.28697679176524604
ours,flocking,mean_dtw_distance,112.43760099542125,112.43760099542125
ours,flocking,spatial_variance,0.10157999430743583,0.10157999430743583
ours,flocking,mean_dtw_distance,475.503916299457,475.503916299457
ours,flocking,spatial_variance,0.10490064952870151,0.10490064952870151
ours,flocking,mean_dtw_distance,386.9211955554118,386.9211955554118
ours,flocking,spatial_variance,0.33162610784298563,0.33162610784298563
ours,flocking,mean_dtw_distance,116.4473079238866,116.4473079238866
ours,flocking,spatial_variance,0.291852473921032,0.291852473921032
ours,flocking,mean_dtw_distance,1160.470492699699,1160.470492699699
ours,flocking,spatial_variance,0.09688167169172394,0.09688167169172394
ours,flocking,mean_dtw_distance,453.7210147498401,453.7210147498401
ours,flocking,spatial_variance,0.1037694026942596,0.1037694026942596
ours,flocking,mean_dtw_distance,374.93938880134993,374.93938880134993
ours,flocking,spatial_variance,0.24332222694811909,0.24332222694811909
ours,flocking,mean_dtw_distance,507.848469808608,507.848469808608
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.8333333333333334,0.16666666666666663
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.6666666666666666,0.33333333333333337
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.6666666666666666,0.33333333333333337
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.6666666666666666,0.33333333333333337
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,1.0,0.0
ours,crossing,target_achievement_ratio,0.0,1.0
ours,aggregation,max_min_distance,0.48763818233602446,0.48763818233602446
ours,aggregation,max_min_distance,0.13216386489680942,0.13216386489680942
ours,aggregation,max_min_distance,0.009007962318659885,0.009007962318659885
ours,aggregation,max_min_distance,0.7596955360870157,0.7596955360870157
ours,aggregation,max_min_distance,0.021916972762089065,0.021916972762089065
ours,aggregation,max_min_distance,2.808328542670753,2.808328542670753
ours,aggregation,max_min_distance,0.027320921143127397,0.027320921143127397
ours,aggregation,max_min_distance,0.009767290895964426,0.009767290895964426
ours,aggregation,max_min_distance,0.13210015893158555,0.13210015893158555
ours,aggregation,max_min_distance,1.143846840630981,1.143846840630981
ours,aggregation,max_min_distance,2.6724981598979145,2.6724981598979145
ours,aggregation,max_min_distance,3.432154264028796,3.432154264028796
ours,aggregation,max_min_distance,0.012948533512174065,0.012948533512174065
ours,aggregation,max_min_distance,3.357060069135922,3.357060069135922
ours,aggregation,max_min_distance,1.943828259169704,1.943828259169704
ours,aggregation,max_min_distance,0.03621273255810262,0.03621273255810262
ours,aggregation,max_min_distance,0.08291947012495132,0.08291947012495132
ours,aggregation,max_min_distance,0.13026709673486736,0.13026709673486736
ours,aggregation,max_min_distance,2.0603618244792914,2.0603618244792914
ours,aggregation,max_min_distance,0.010121416743649775,0.010121416743649775
ours,aggregation,max_min_distance,1.6384606546687555,1.6384606546687555
ours,aggregation,max_min_distance,1.5926104048549998,1.5926104048549998
ours,aggregation,max_min_distance,0.032956552092785696,0.032956552092785696
ours,aggregation,max_min_distance,2.2132517339999485,2.2132517339999485
ours,aggregation,max_min_distance,0.03395274646350463,0.03395274646350463
ours,aggregation,max_min_distance,0.9175164226972357,0.9175164226972357
ours,aggregation,max_min_distance,0.03599676361352702,0.03599676361352702
ours,aggregation,max_min_distance,0.07105423667677768,0.07105423667677768
ours,aggregation,max_min_distance,1.3776803689389407,1.3776803689389407
ours,aggregation,max_min_distance,0.07306135200619723,0.07306135200619723
ours,aggregation,max_min_distance,0.023270104050945234,0.023270104050945234
ours,aggregation,max_min_distance,2.7928854971617505,2.7928854971617505
ours,aggregation,max_min_distance,0.13224674788839674,0.13224674788839674
ours,aggregation,max_min_distance,0.17090928686123885,0.17090928686123885
ours,aggregation,max_min_distance,1.6828795754591048,1.6828795754591048
ours,aggregation,max_min_distance,2.3634479879446952,2.3634479879446952
ours,aggregation,max_min_distance,0.15361098259456824,0.15361098259456824
ours,aggregation,max_min_distance,0.00017445800305632142,0.00017445800305632142
ours,aggregation,max_min_distance,1.0983183661638083,1.0983183661638083
ours,aggregation,max_min_distance,0.13214509432851734,0.13214509432851734
ours,aggregation,max_min_distance,2.2799017022956183,2.2799017022956183
ours,aggregation,max_min_distance,2.6522414580158067,2.6522414580158067
ours,aggregation,max_min_distance,1.0645979384090338,1.0645979384090338
ours,aggregation,max_min_distance,0.00729537244083861,0.00729537244083861
ours,aggregation,max_min_distance,1.6025019206401032,1.6025019206401032
ours,aggregation,max_min_distance,1.477803507713326,1.477803507713326
ours,aggregation,max_min_distance,0.0005534429779367467,0.0005534429779367467
ours,aggregation,max_min_distance,0.0024008507086629716,0.0024008507086629716
ours,aggregation,max_min_distance,0.3412445262256158,0.3412445262256158
ours,aggregation,max_min_distance,0.021515598637926098,0.021515598637926098
ours,aggregation,max_min_distance,4.770918383303994,4.770918383303994
ours,aggregation,max_min_distance,0.01081258856434733,0.01081258856434733
ours,aggregation,max_min_distance,0.0066155362975585386,0.0066155362975585386
ours,aggregation,max_min_distance,-0.0050004030559924195,-0.0050004030559924195
ours,aggregation,max_min_distance,0.1315685955305706,0.1315685955305706
ours,aggregation,max_min_distance,2.5039655265797864,2.5039655265797864
ours,aggregation,max_min_distance,0.009269304985374288,0.009269304985374288
ours,aggregation,max_min_distance,0.3649459850121531,0.3649459850121531
ours,aggregation,max_min_distance,2.267423738813509,2.267423738813509
ours,aggregation,max_min_distance,2.216414812833764,2.216414812833764
ours,aggregation,max_min_distance,0.005000365236966481,0.005000365236966481
ours,aggregation,max_min_distance,0.005184077711816282,0.005184077711816282
ours,aggregation,max_min_distance,1.3686991852599362,1.3686991852599362
ours,aggregation,max_min_distance,1.5915855887556039,1.5915855887556039
ours,aggregation,max_min_distance,2.711946697549973,2.711946697549973
ours,aggregation,max_min_distance,0.027675168058060473,0.027675168058060473
ours,aggregation,max_min_distance,2.7483662919326357,2.7483662919326357
ours,aggregation,max_min_distance,0.04147415864148904,0.04147415864148904
ours,aggregation,max_min_distance,0.11793517077579396,0.11793517077579396
ours,aggregation,max_min_distance,0.05347848605420347,0.05347848605420347
ours,aggregation,max_min_distance,2.6267767183153437,2.6267767183153437
ours,aggregation,max_min_distance,0.08087382934426879,0.08087382934426879
ours,aggregation,max_min_distance,0.05209801571432304,0.05209801571432304
ours,aggregation,max_min_distance,0.014343637863038328,0.014343637863038328
ours,aggregation,max_min_distance,1.889858890052911,1.889858890052911
ours,aggregation,max_min_distance,0.07463039063766563,0.07463039063766563
ours,aggregation,max_min_distance,-0.01132277860689726,-0.01132277860689726
ours,aggregation,max_min_distance,0.003172226320603544,0.003172226320603544
ours,aggregation,max_min_distance,1.717150461608492,1.717150461608492
ours,aggregation,max_min_distance,2.4476499513084895,2.4476499513084895
ours,aggregation,max_min_distance,1.7366264403803227,1.7366264403803227
ours,aggregation,max_min_distance,0.030907263341027114,0.030907263341027114
ours,aggregation,max_min_distance,2.3443864477215492,2.3443864477215492
ours,aggregation,max_min_distance,0.6382168737387655,0.6382168737387655
ours,aggregation,max_min_distance,0.4900583733705542,0.4900583733705542
ours,aggregation,max_min_distance,1.9972452310444198,1.9972452310444198
ours,aggregation,max_min_distance,2.110348038274598,2.110348038274598
ours,aggregation,max_min_distance,0.07421168372831793,0.07421168372831793
ours,aggregation,max_min_distance,1.965210884400651,1.965210884400651
ours,aggregation,max_min_distance,0.006020872442234149,0.006020872442234149
ours,aggregation,max_min_distance,0.5818068455287961,0.5818068455287961
ours,aggregation,max_min_distance,1.8469024614570866,1.8469024614570866
ours,aggregation,max_min_distance,1.5187017214465168,1.5187017214465168
ours,aggregation,max_min_distance,0.020634000457859875,0.020634000457859875
ours,aggregation,max_min_distance,0.5737358399037018,0.5737358399037018
ours,aggregation,max_min_distance,1.8351927350954178,1.8351927350954178
ours,aggregation,max_min_distance,0.019663002273440672,0.019663002273440672
ours,aggregation,max_min_distance,0.009952936823372172,0.009952936823372172
ours,aggregation,max_min_distance,0.031312099138752214,0.031312099138752214
ours,aggregation,max_min_distance,0.05255539758475275,0.05255539758475275
ours,shaping,procrustes_distance,0.00021325117332614214,0.00021325117332614214
ours,shaping,procrustes_distance,0.0004471765888990499,0.0004471765888990499
ours,shaping,procrustes_distance,0.00014813624559803585,0.00014813624559803585
ours,shaping,procrustes_distance,0.00015505667442295782,0.00015505667442295782
ours,shaping,procrustes_distance,0.3929747618316707,0.3929747618316707
ours,shaping,procrustes_distance,0.00014361825831833784,0.00014361825831833784
ours,shaping,procrustes_distance,9.682506395485402e-05,9.682506395485402e-05
ours,shaping,procrustes_distance,0.05197323844831206,0.05197323844831206
ours,shaping,procrustes_distance,0.8405244862894279,0.8405244862894279
ours,shaping,procrustes_distance,0.0003984548375552518,0.0003984548375552518
ours,shaping,procrustes_distance,0.0002971035719368998,0.0002971035719368998
ours,shaping,procrustes_distance,0.8680827255748881,0.8680827255748881
ours,shaping,procrustes_distance,0.00011197707728486883,0.00011197707728486883
ours,shaping,procrustes_distance,0.0001353478184666621,0.0001353478184666621
ours,shaping,procrustes_distance,8.050875982936223e-05,8.050875982936223e-05
ours,shaping,procrustes_distance,0.7222806686772429,0.7222806686772429
ours,shaping,procrustes_distance,0.00011168503244454079,0.00011168503244454079
ours,shaping,procrustes_distance,0.5088540265372624,0.5088540265372624
ours,shaping,procrustes_distance,0.0004927755166058909,0.0004927755166058909
ours,shaping,procrustes_distance,0.00031655316469265314,0.00031655316469265314
ours,shaping,procrustes_distance,0.00026846029834431246,0.00026846029834431246
ours,shaping,procrustes_distance,0.000153607600085848,0.000153607600085848
ours,shaping,procrustes_distance,0.00013460649255238858,0.00013460649255238858
ours,shaping,procrustes_distance,0.0008179038276849915,0.0008179038276849915
ours,shaping,procrustes_distance,0.0002711671066476128,0.0002711671066476128
ours,shaping,procrustes_distance,0.00021484469716513642,0.00021484469716513642
ours,shaping,procrustes_distance,3.7192271635966445e-05,3.7192271635966445e-05
ours,shaping,procrustes_distance,0.00018661051104462318,0.00018661051104462318
ours,shaping,procrustes_distance,0.000184095049208108,0.000184095049208108
ours,shaping,procrustes_distance,0.00016359583152072458,0.00016359583152072458
ours,shaping,procrustes_distance,0.6128059436388731,0.6128059436388731
ours,shaping,procrustes_distance,5.415044899060639e-05,5.415044899060639e-05
ours,shaping,procrustes_distance,0.00036152422997527526,0.00036152422997527526
ours,shaping,procrustes_distance,0.0005011198701629311,0.0005011198701629311
ours,shaping,procrustes_distance,0.0002737876634514465,0.0002737876634514465
ours,shaping,procrustes_distance,0.0002553903452219129,0.0002553903452219129
ours,shaping,procrustes_distance,6.733192425037908e-05,6.733192425037908e-05
ours,shaping,procrustes_distance,0.00024980750678969447,0.00024980750678969447
ours,shaping,procrustes_distance,0.7042922538159986,0.7042922538159986
ours,shaping,procrustes_distance,0.00022731770291609834,0.00022731770291609834
ours,shaping,procrustes_distance,0.8114827655302471,0.8114827655302471
ours,shaping,procrustes_distance,3.341159990807993e-05,3.341159990807993e-05
ours,shaping,procrustes_distance,0.6114539377342695,0.6114539377342695
ours,shaping,procrustes_distance,0.00028594341314980667,0.00028594341314980667
ours,shaping,procrustes_distance,0.0005215612221194379,0.0005215612221194379
ours,shaping,procrustes_distance,0.919372225680626,0.919372225680626
ours,shaping,procrustes_distance,0.4685319336985155,0.4685319336985155
ours,shaping,procrustes_distance,0.7398100074996458,0.7398100074996458
